3.8915,4.2105
3.6898,6.6051
2.7763,7.5057
3.1137,5.7724
2.9251,5.4315
3.6699,6.4406
2.8404,3.8136
3.7729,5.2398
2.6465,3.4946
4.0902,5.9298
3.3337,5.5294
1.44,5.8302
3.6919,5.0708
4.4506,3.629
4.7716,6.4982
3.7306,4.8439
4.9867,5.6805
4.1954,6.455
5.6164,6.0755
3.7672,4.6705
3.982,5.2395
3.9381,5.2835
4.0603,6.4953
4.3357,6.7917
4.5707,4.4346
2.5098,4.4806
2.2003,5.6314
4.8419,5.4988
4.4708,5.7022
2.6502,4.4475
3.4506,4.1548
5.3572,5.4207
2.3391,6.7416
3.8305,6.1357
2.1096,5.3812
3.674,5.1154
3.8091,4.3737
3.3172,6.4038
4.4469,6.3588
3.3633,5.3338
4.6922,5.8894
4.6014,5.774
3.2233,6.4315
3.7617,7.1484
3.7115,3.7335
4.4714,5.1916
4.7502,5.4191
4.2977,4.2184
3.5279,5.2086
2.6096,6.3162
4.7394,2.6582
3.3908,3.4965
4.4767,2.9949
5.7886,1.6549
4.735,2.4475
6.4513,1.5372
4.94,5.1969
5.7323,3.7426
4.9014,4.1027
6.1341,3.7068
3.8544,4.6233
7.1477,5.0198
5.2805,3.0939
5.3616,2.5338
4.0691,4.6088
5.4984,5.7533
5.4295,3.2801
4.2903,2.7389
6.0986,3.8345
7.5195,2.5559
6.6949,2.7201
5.4368,4.1784
6.0597,3.28
5.715,4.0286
5.922,2.9962
3.4284,4.0874
4.5904,3.8441
5.2147,4.0196
6.1363,4.6772
5.8662,4.3752
5.3976,1.956
3.3328,5.3288
4.0697,2.2547
6.8436,1.732
5.638,4.4592
5.5175,2.7173
5.1615,1.6006
8.4153,3.4567
4.8131,5.3435
5.3576,4.3978
6.0388,4.195
6.8282,2.4295
5.369,2.6921
6.4701,4.4246
6.4986,4.8292
5.7629,4.6161
4.1817,4.0577
6.3065,2.4776
5.6043,3.3146
7.0567,4.7346
